institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/advanced-care-paramedic/,Advanced Care Paramedic – Graduate Certificate,Ontario College Graduate Certificate,Barrydowne,2 semesters,"Add to your Primary Care Paramedic training to advance your career and increase your salary while making a difference in the health of your community.  You will undertake advanced training delivered through a combination of classroom, simulation, clinical, and preceptorship environments.  Your training will exceed what is prescribed within the National Occupational Competency Profile for Paramedics.  You will also complete preceptorship through exposure to an Advanced Care Paramedic (ACP) land ambulance service.  Costs incurred by the student for the preceptorship in-town and or out-of-town are the responsibility of the student. This is a full-time program and, in some instances, you may be able to continue working as a Primary Care Paramedic during your studies. This program is based on the Ministry of Health Paramedic Syllabus, the National Occupational Competencies for Paramedicine, and holds accreditation from Accreditation Canada. Successful completion of this program qualifies candidates to write the Ontario Ministry of Health and Long-Term Care Advanced Care Paramedic Theory Examination Please note that possession of the requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing, and Emergency Services Graduate of a Primary Care Paramedic program or equivalent. Students must possess an Advanced Emergency Medical Care Assistant (A-EMCA) certificate, issued by the Ontario Ministry of Health and Long-Term Care, prior to program commencement. Complete an entrance exam in order to be considered for acceptance Upon completion of this program, graduates must be successful in the Advanced Care Paramedic Theory Examination set by the Ontario Ministry of Health and Long-Term Care, Emergency Health Services Branch, in order to be eligible to work in an ambulance service in Ontario. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule posted on our website. Cambrian College will endeavour to schedule clinical shifts at local facilities, and preceptorship at a location of the students preference however, this is not always possible and in such cases students will be required to incur the associated travel costs and living expenses. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $1,400. This is the best information available at the time of publishing to the website and is subject to change. The need for Advanced Care Paramedics is growing. The employment growth rate is average to above average because of the aging population, increased coverage of health care plans, and new technological advancements. You may find employment with: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/bachelor-of-science-in-nursing/,Bachelor of Science in Nursing,Degree,Barrydowne,8 semesters,"Do you want a career where you'll be in demand, earn a good salary, make a difference in your community? Earn your Bachelor of Science in Nursing degree through Cambrian College (Laurentian University Collaboration) and become a leader in your field! You will gain skills, knowledge, and clinical experiences to take on nursing roles in hospitals, long-term care settings, community care settings, and have the opportunity to consider exciting national and international career opportunities. The Laurentian University Four-Year Collaborative Nursing Program, in collaboration with Laurentian University, Northern College, St. Lawrence College, Sault College, and Cambrian College, combines unique courses in humanities, sciences, and social sciences with preparation in theory, simulation, and clinical practice setting. Clinical experiences in hospital and community settings will challenge you to put into practice the knowledge and skills learned in classes. You will have opportunities to work with a multitude of healthcare providers such as physicians, social workers, dietitians, physiotherapists, and much more. Nursing is a rewarding career with endless opportunities to make a difference in people's lives! 4 years – 8 semesters Gain clinical experiences in the first semester of the program Placements in a variety of healthcare settings Hands-on training in Cambrian's high-tech nursing simulation lab Participate in various health promotion projects Throughout the program, you will have clinical placement experiences in the hospital setting, the long-term care setting, and the community setting. Costs incurred with clinical placements in-town and out-of-town are the responsibility of the student. Agency placements may occur on all shifts, especially during preceptorship rotations in semesters 7 and 8. Trip to China - In 2014, a group of students traveled to Shenyang, China. Students worked in government and public hospitals and provided care of various health ailments to women and children in rural Shenyang. The students were active members of a multidisciplinary team, serving both as learners and as teachers by gaining invaluable experience working in clinics with limited access to resources. Trip to Costa Rica – In 2015, students traveled to Costa Rica to participate in an inter-professional  educational experience with the goal of positively impacting the quality of life of families in underserviced communities. Teddy Bear Picnic – Annually, BSN students participate in this fun, interactive, and dynamic fundraiser for the Canadian Cancer Society. The role of the student is to perform a  ""health assessment check"" prior to the teddy bears being auctioned off.   Nursing Student Council – aims to cultivate student nurse leaders by providing opportunities to plan and facilitate events for students, participate in leadership retreats, and interact with the Cambrian College community to raise awareness of health issues on campus. Interprofessional Education Opportunities - offered to BSN students to learn from and with other healthcare programs in the College. Upon successful completion of all courses as outlined in the program of study, you are eligible to write the NCLEX-RN examination for registered nurse credentialing as set out by the College of Nurses of Ontario. The cost of the exam is the responsibility of the student. Please note that possession of the requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing and Emergency Services To be eligible to enter the BSCN program, graduates of the new curriculum, Ontario Secondary School Diploma (OSS; 30 credits), or equivalent or mature student status, must complete at least six grade 12 U/M courses with a minimum overall average of 75% and must qualify to obtain their OSSD. Ontario High School applicants require the following Grade 12 credits: Applications from mature applicants will be assessed using Laurentian University’s mature student status guidelines: https://laurentian.ca/mature-applicants  Note: Cambrian College's Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (PHPG) program is the designated preferred preparatory program for admission to Cambrian College's limited enrolment Health Sciences programs. Limited enrolment programs are identified within the detailed program descriptions. The minimum GPA and grades required for successful admission will be determined by the quality and quantity of the applicant pool. Standard First Aid CPR Level HCP (Health Care Providers) - Canadian Heart and Stroke Guidelines WHMIS certificate Ministry of Labour 4-Step Worker Health & Safety Awareness Training (Bill 18) AODA certificate Respiratory Mask Fit Testing (N95-3M models) Criminal Record Check, including Vulnerable Sector Check (contact your program coordinator if you have a positive CPIC) Immunization requirements: This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule posted on our website. Full Year Course. NOTE: PSY1115 is an elective. For other options, please contact the Program Coordinator for Year 1 as listed under CONTACTS. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $3,000. This is the best information available at the time of publishing to the website and is subject to change. Note: The student is responsible for the cost of appropriate uniforms and equipment (e.g. stethoscope, lab kit, watch, etc.) required for the clinical area. Upon successful completion of all courses as outlined in the program of study, the student is eligible to write the NCLEX-RN examination for registered nurse credentialing as set out by the College of Nurses of Ontario. The student is also responsible for the following costs: A Bachelor of Science in Nursing allows graduates to work with individuals (infant, children, adults, elderly. etc.), families, and communities in a variety of settings:  Hospital Community Settings Long-Term Care Settings Outposts Agencies Occupational / Industry Settings Schools Homecare Setting Nurses with a BScN degree can pursue Masters and Doctoral studies to prepare for work as educators, clinical experts, and researchers.",
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/dental-assisting-levels-i-ii/,Dental Assisting (Levels I & II),Ontario College Certificate,Barrydowne,3 semesters,"Get the skills to launch a career as a Dental Assistant in just one year. In Cambrian's program, you won't just be learning, you'll be doing – and lots of it! You'll start by practicing your skills on mannequins and your classmates in the College's dental clinic. Once you've gained some practical experience, you'll treat real patients in the clinic before completing a placement in a dental office. You will have an opportunity to use your new knowledge and gain valuable practical experience in our clinic and in community settings. Practical experiences offer the opportunity to work with dental hygienists, dentists, and other health care professionals in a multi-disciplinary environment. Clinics and some classroom experiences may include evening scheduling. Students must complete the in-office practicum as outlined in the program's third semester. Students must be prepared to cover the costs incurred in their 2 weeks clinical placement whether in town or out of town. Walk for a Smile – Each year, Dental Assisting and Dental Hygiene students raise money and collect dental health products to help support free access to oral health services. Vietnam adventure – In March 2012, students and professors from the Dental Assisting and Dental Hygiene programs trekked through remote mountain villages in Sapa, Vietnam, to bring oral health education and supplies to children and families. The group visited homes, schools, and an orphanage, handing out thousands of toothbrushes, teaching children how to use them through hands-on demonstrations and songs. The group was recognized by the Canadian Dental Hygienists Association (CDHA) for their outstanding efforts in oral health promotion. Cambrian's Dental Assisting program is accredited by the Commission on Dental Accreditation of Canada (CDAC). For initial licensure/certification, graduates of Cambrian College's Dental Assisting program are eligible to become a candidate for the National Dental Assisting Examining Board (NDAEB) examination. Successful completion of the examination is necessary to be certified as an Intra-oral Dental Assistant with the Ontario Dental Assistants Association (ODAA). It is the responsibility of the graduate to pursue candidacy and certification as well as to cover any associated costs. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum (OSS): Ontario Secondary School Diploma (30 credits) or equivalent or mature student status, including: Please note: A minimum of 60% is required in each prerequisite course. Recommended: Note: The Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (PHPG) program is the designated preferred preparatory program for admission to Cambrian College's limited enrolment Health Sciences programs. Limited enrolment programs are identified with the detailed program descriptions. Criminal record check (Vulnerable Sector Screening) as required for placements Please note: A criminal record is a serious impediment for the completion of program requirements. Many employers and placement agencies insist on a clear record. The following are required prior to the start of classes: Current Basic Cardiac Life Support (Level C with AED or Health Care Provider) and First Aid Training Immunizations: Hepatitis B, Polio, Tetanus, Diphtheria, Measles, Mumps, Rubella, Varicella, Flu vaccination (when distributed mid- to late fall) Appropriate TB test Proof of WHMIS training Eye examination is strongly recommended This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $3,000. This is the best information available at the time of publishing to the website and is subject to change. Graduates are prepared for employment opportunities in: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",Clinical Practice I AND Clinical Practice II
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/dental-hygiene/,Dental Hygiene,Ontario College Advanced Diploma,Barrydowne,6 semesters,"Train to be an integral member of oral health care teams in private practices, public health units, long-term care facilities, mobile dental practices, and industry. You'll have tons of opportunities for hands-on practical learning on manikins, your classmates, and clients from Sudbury in the College's on-campus Dental Clinic. You'll also be involved in health promotion initiatives that will look impressive on your resume. Initially, you will learn clinical/laboratory skills on manikins followed by practice sessions where you can perform these learned skills on a partner. You must be prepared to be a client in these practice sessions. You will then proceed to treatment of clients from the public at the College's on-site dental clinic as well as rotation experiences in community health settings. You must be prepared to cover the costs incurred as part of your placement experiences. Clinics and some classroom experiences may also include evening scheduling. Costa Rica health care mission – In 2015, a group of Dental Hygiene and Nursing students provided health care services in two communities in Costa Rica. Walk for a Smile – Each year, Dental Assisting and Dental Hygiene students raise money and collect dental health products to help support access to oral health services. Cambrian's Dental Hygiene program is accredited by the Commission on Dental Accreditation of Canada (CDAC). To practice as a Dental Hygienist, you must pass the National Dental Hygiene Certification Examination (NDHCE) conducted by the National Dental Hygiene Certification Board (NDHCB). Successful completion of the NDHCE qualifies graduates for registration with the College of Dental Hygienists of Ontario (CDHO), which is a requirement to practice in Ontario. Graduates who pass the NDHCE are also eligible to register to practice dental hygiene in other provinces (please note that each province holds separate licensing exams and requirements to practice). It is the responsibility of the graduate to pursue certification and registration and to cover any associated costs. Please note that possession of the requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum (OSS): Ontario Secondary School Diploma (30 credits) or equivalent or mature student status, including: Please note: A minimum of 60% is required in each prerequisite courses Recommended: Criminal Record check (Vulnerable Sector Screening) as required for placements. (Please note: a criminal record is a serious impediment for the completion of program requirements. Many employer and placement agencies insist on a clear record.) The following are required prior to the start of classes: Students must be prepared to cover the costs incurred in the clinical experience. The Dental Hygiene program is accredited by the Commission on Dental Accreditation of Canada. The curriculum is enhanced on an ongoing basis in order to ensure that the course content continues to meet the National accreditation standards. The Cambrian College Dental Health Program takes primary responsibility for the client pool within the Cambrian College Dental Clinic to provide sufficient varied experiences that allow students to develop competency. Students will have access to the client pool. Due to the nature of this program, it is highly recommended that the learner have good manual dexterity and good oral and written communication skills. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website.  For more information regarding General Education courses, click here. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The estimated cost of equipment and supplies for Year 1 is approximately $3,600. The estimated cost of equipment and supplies for Year 2 is approximately $2,600.  The estimated cost of supplies for Year 3 is approximately $300.   The estimated cost of textbooks for the program is approximately: This is the best information available at the time of publishing to the website and is subject to change. Graduates are prepared for employment opportunities in: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/diagnostic-medical-sonography-ultrasound/,Diagnostic Medical Sonography – Ultrasound,Ontario College Advanced Diploma,Barrydowne,6 semesters,"Cambrian's accredited Diagnostic Medical Sonography – Ultrasound program will prepare you for entry-level roles in hospitals, medical clinics, and private industry. You'll enjoy wide ranging job opportunities, a higher than average salary, and a career where you'll be making a difference in the lives of patients. You will learn to safely use scanning equipment and imaging techniques to produce high quality images of a body part or system.  Sonographers use these skills throughout the various departments of a clinical facility including, the trauma unit, operating room, and intensive care area, as well as the diagnostic imaging department. To graduate from this program, you must demonstrate scanning abilities, strong communication skills, and critical thinking skills at a level of competency defined by Sonography Canada and within the timelines set out in the curriculum. Also, you will be expected to rotate to one or more sites during your placement component. Grads are eligible to apply to write Sonography Canada’s Certification Exam, CARDUP (Canadian Association of Registered Diagnostic Ultrasound Professionals), and are encouraged to write the American Registered Diagnostic Medical Sonography (ARDMS) certification examinations. You must participate in a relevant clinical experience during the program. Clinical experience is gained at a variety of affiliate hospitals throughout Canada. You must be financially prepared to relocate and support yourself away from Sudbury for the clinical semesters. You will be assigned a clinical site with rotations and additional clinical sites arranged at the discretion of the clinical partners' clinical coordinator. Preference cannot be given to any student based on their circumstances, as placements will be selected by lottery method should more than one students request a single placement site. Success in the clinical placement component is mandatory for success in the program. Failure to demonstrate scanning competency at clinical placement will result in a failure and exit from the program. Cambrian's program is accredited by Accreditation Canada and their affiliate Health Standards Organization (HSO). Upon successful completion of the program, you will have met all of the competencies in the National Competency Profiles established under Sonography Canada, and thereby be eligible to write the CARDUP (Canadian Association of Registered Ultrasound Professionals) and/or ARDMS (American Registered Diagnostic Medical Sonography) certification examinations. As a graduate, you will also have the opportunity to become a member of several professional diagnostic ultrasound associations. Sonography Canada is the professional certification body for diagnostic medical sonography in Canada. Sonography Canada develops, maintains, and delivers the national certification examinations for sonography in Canada. You must complete the clinical assessment examination while in clinical placement. Sonography Canada supplies professional services and liability coverage to Canadian sonographers including the Continuing Professional Development program which manages ongoing professional education for members. The College of Medical Radiation Technologists of Ontario (CMRTO) is responsible for regulating medical diagnostic sonographers as of January 2018. Cambrian College of Applied Arts and Technology (General Sonography) education program has been approved as one of the accredited programs for sonography. Please note that possession of the requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum (OSS): Ontario Secondary School Diploma (30 credits) or equivalent or mature student status, including: Please note: A minimum of 70% is required in each prerequisite courses Recommended: Note: Cambrian College's Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (PHPG) program is the designated preferred preparatory program for admission to Cambrian College's limited enrolment Health Sciences programs. Limited enrolment programs are identified within the detailed program descriptions. The minimum GPA and grades required for successful admission will be determined by the quality and quantity of the applicant pool. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. For more information regarding General Education courses, click here. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $1,500. This is the best information available at the time of publishing to the website and is subject to change. Graduates are prepared for employment opportunities in: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",Clinical Practicum I AND Clinical Practicum II AND Clinical Practicum III
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/fitness-and-health-promotion/,Fitness and Health Promotion,Ontario College Diploma,Barrydowne,4 semesters,"People are living longer than ever before and are increasingly concerned about maintaining their health and physical fitness.  With an aging population and increased obesity in the population in general and children in particular, many medical and allied health practitioners are promoting the benefits of an active and healthy lifestyle.  This program will provide you with a blend of fitness education and business principles in order to meet the growing demand for fitness coaching and instruction, and leisure programs that emphasize active living.  The program will help you develop the skills and knowledge to change and inspire the lives of others through a strong understanding of physical literacy, physical exercise techniques, proper nutrition, and the mental obstacles individuals may need to overcome to achieve their goals. Our indoor facilities include fully-equipped weight rooms, a cardio room, a multi-purpose room, squash courts, double gymnasium, and a stretching area. You will also have exclusive access to a state-of-the-art multi-purpose/functional fitness and assessment laboratory to enhance your exercise science knowledge on new and traditional equipment. Outdoor facilities include running track, soccer/football field, baseball diamond, and beach volleyball courts. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum (OSS): Ontario Secondary School Diploma (30 credits) or equivalent or mature student status, including: Recommended: This program includes a physical fitness component and requires that students perform cardio-respiratory endurance, muscular strength and endurance, and flexibility exercises. Additional activities include group exercise, team sports, and other various forms of physical activity. Students must, therefore, complete a Physical Activity Readiness Questionnaire for Everyone (PAR-Q+) and/or a Physical Activity Readiness Medical Examination (PARMED-X) and an Informed Consent form. Prospective students with health-related concerns that may affect their participation in the program are encouraged to complete the aforementioned forms before beginning the program and discuss their career goals with the program coordinator. Field placement agencies may require that First Aid/CPR and a criminal record check be obtained prior to placements. A criminal record check (CPIC) can be completed by local police departments, and First Aid/CPR certification can be obtained through either St. John's Ambulance or Canadian Red Cross. These requirements can be obtained prior to or during the program. It is highly recommended that students have up-to-date immunizations. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. For more information regarding General Education courses, click here. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is under review. This is the best information available at the time of publishing to the website and is subject to change. Graduates are prepared for employment opportunities in: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",Field Placement
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/health-analytics/,Health Analytics – Graduate Certificate,Ontario College Graduate Certificate,Barrydowne,3 semesters,"In this program, students will develop an understanding of programming, statistics, and foundations of data management within the context of the emerging field of Health Analytics. The knowledge gained will be tested and applied through exercises focusing on critical thinking and problem-solving skills. Students will learn to work as a member of an interdisciplinary health analytics team.  Students may choose to complete this program in five semesters while studying part-time.  For more information on the full-time pathway click here.   How to Apply Health Sciences, Nursing, and Emergency Services Applicants must be graduates of a diploma, advanced diploma, or degree from an Ontario College or equivalent.  Required Courses: Highly Recommended: Students who do not possess the foundational math will need to take the bridging course/s prior to registration. Applicants whose first language is not English, must provide proof of English proficiency. Cambrian College accepts the TOEFL, or IELTS, or equivalent test to satisfy our English admission requirements.  This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies is under review for Year 1.  The information will be updated on the website upon further review of the program. Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/magnetic-resonance-imaging-mri/,Magnetic Resonance Imaging (MRI) – Graduate Certificate,Ontario College Graduate Certificate,Barrydowne,2 semesters,"If you have the natural ability to put people at ease and can maintain a high level of accuracy, organization, and patience during stressful situations in a fast-paced environment, a career as a Magnetic Resonance Imaging Technologist could be for you. In just eight months, Cambrian's program will provide you with the technical skills needed to excel in this field while exposing you to the day-to-day demands of this profession through a clinical placement in a hospital. Cambrian's accredited program prepares you for the Canadian Association of Medical Radiation Technologist's entry-to-practice certification exam in Magnetic Resonance Imaging. A clinical placement is a requirement for completion of this certificate. The clinical semester will be delivered at an approved clinical partner of Cambrian College. You must be financially prepared to relocate and support yourself during the clinical placement. Information on placement sites will be available at the time of acceptance.  The MRI program’s six-year accreditation status is honoured by Accreditation Canada. Please note that possession of the requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing, and Emergency Services Graduation from a Canadian Medical Association accredited and relevant diploma or degree program. Preference will be given to graduates of Medical Radiation Imaging Sciences – Radiologic Technology, Nuclear Medicine, Radiation Therapy, and Diagnostic Ultrasonography programs. Bachelor of Science in Nursing, Kinesiology with two physics courses, Biomedical Biology with two physics courses and Biomedical Physics degree programs may also be considered. All health science students are required to submit the additional requirement information by appointment with Paramed. Paramed Requisite forms and instructions are posted to your myCambrian account under Student Tab.  Upon successful completion of the program, the graduate must write the CAMRT (Canadian Association of Medical Radiation Technologists) MRI certification examination to become registered. In Ontario, the College of Medical Radiation Technologists of Ontario recognizes and accepts the CAMRT certification exam for registration purposes. Graduates must register with the College of Medical Radiation Technologists of Ontario to be eligible for employment in Ontario. The cost for the examination/registration process is the responsibility of the graduate and will be required in the second semester of the program. Sponsored students are to contact the MRI Program Coordinator.  This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $1,000. This is the best information available at the time of publishing to the website and is subject to change. Graduates are prepared for employment opportunities in: Hospitals Medical clinics Private industry Education Sales Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",MRI Clinical Practicum
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/massage-therapy/,Massage Therapy,Ontario College Advanced Diploma,Barrydowne,6 semesters,"Become an integral member of a healthcare team focusing on maintenance and rehabilitation of physical health, function and mobility. The Massage Therapy program at Cambrian College provides students with rigorous academic preparation, hands-on massage therapy and assessment skills, as well as clinical experience needed to become a successful massage therapist. Students gain a deep knowledge of musculoskeletal anatomy in order to help clients manage a variety of conditions that involve muscle, nerve, fascia, lymph and joints of the body.  Physical assessment and treatment planning as well as an introduction to research in the health sciences are key components of the Massage Therapy program.  The program offers instruction through in-class lectures, simulations and lab experience, as well as four on-site and three off-site clinical placements.  The off-site clinical placements are designed to give students an opportunity to practice massage therapy in diverse healthcare settings. This advanced diploma emphasizes professionalism in healthcare. Massage therapists are regulated health professionals operating under the Regulated Health Professionals Act and the Massage Therapy Act.  Massage therapy in Ontario is regulated by the College of Massage Therapists of Ontario. Students must meet the following requirements to attend on-site clinical placements as well as community based placements.  Students will be responsible for any expenses incurred related to placement. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum (OSS): Ontario Secondary School Diploma (30 credits) or equivalent or mature student status, including: Please note: A minimum average of 60% is required in each of the prerequisite courses listed above. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website. For more information regarding General Education courses, click here. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is under review. This is the best information available at the time of publishing to the website and is subject to change. Graduates of this program will be able to work in a variety of settings including: Healthcare Organizations Clinics Health Clubs Fitness Centres Athletic Organizations Resort/Spa Industry Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",On-Site Placement I AND Off-Site Placement I AND On-Site Placement II AND On-Site Placement III AND Off-Site Placement II AND Off-Site Placement III 1 AND On-Site Consolidation Placement
Cambrian College of Applied Arts and Technology,Ontario,b77e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://cambriancollege.ca/programs/medical-laboratory-technology/,Medical Laboratory Technology,Ontario College Advanced Diploma,Barrydowne,6 semesters,"Become a behind-the-scenes member of the health care team. Cambrian's program will prepare you with the medical detective skills to analyze and interpret scientific data to assist in the diagnosis and treatment of disease. As a certified medical laboratory technologist, you'll find a wide range of career opportunities in hospitals, private practices/labs, consulting, sales, and more. A combination of theoretical and laboratory courses and clinical practicum training will prepare you for entry-level medical laboratory technology practice in each of the following five disciplines: In the final two semesters of the program, you will be placed in an accredited clinical laboratory where you will function, under supervision, as a member of the clinical laboratory team. You may be required to complete your clinical placement out of town. You must be financially prepared to relocate and support yourself away from Sudbury for your clinical placement. You may complete your clinical placement at one of the following sites: Graduates are eligible to write the national certification examination conducted by the Canadian Society for Medical Laboratory Science (CSMLS). Certification qualifies you for registration with the College of Medical Laboratory Technologists of Ontario (CMLTO) which is a requirement to practice in Ontario. The Medical Laboratory Technology program’s six-year accreditation status is honoured by Accreditation Canada.  Please note that possession of the prerequisite course requirements does not guarantee admission. If the number of qualified applicants exceeds the number of places available in the program, the College reserves the right to select from among those applicants. All students applying by February 1 will be given equal consideration. Preference will be given to Ontario residents. Please see the Limited Enrolment F.A.Q.'s on our website under ""How to Apply"" for further details. How to Apply Health Sciences, Nursing, and Emergency Services For graduates of the new curriculum Ontario Secondary School Diploma (30 credits) curriculum or equivalent or mature student status, including: Please note: A minimum of 75% is required in each prerequisite course. Recommended: Graduates of recognized Medical Laboratory Assistant programs may be eligible for advanced standing into the second semester of the program, provided there are seats and clinical placements available. Note: Cambrian College's Pre-Health Sciences Pathway to Advanced Diplomas and Degrees (PHPG) program is the designated preferred preparatory program for admission to Cambrian College's limited enrolment health sciences programs. Limited enrolment programs are identified within the detailed program descriptions. The minimum GPA and grades required for successful admission will be determined by the quality and quantity of the applicant pool. Registered CSMLS members pay a reduced cost for the national certification exam. Students can register as members with CSMLS for periods of 2 years or 4 years at a reasonable additional cost. In 2019, the cost to write the CSMLS exam for a member was $1030 while the cost for non-members was be $1365. For more information, please visit the CSMLS. This program will be delivered in the following terms: For specific term start/end dates and other key dates/deadlines, please see the Academic Schedule on our website.   Full Year Course For more information regarding General Education courses, click here. Please see our fees page for the breakdown of tuition and mandatory ancillary fees by program and semester for both domestic and international students. The cost of books and supplies for Year 1 is approximately $2,000. This is the best information available at the time of publishing to the website and is subject to change. While most medical laboratory technologists (MLTs) work in public hospital laboratories, MLTs also find challenging employment in other areas. From industrial research and public health laboratories to forensic and pharmaceutical laboratories, the MLT’s analytical, scientific, and technical skills are a valuable asset. Other career options may include: Graduates from this program may continue their studies at college/university and may receive credit for their prior College education. Refer to College/University Agreements for further information.",
