institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//-introduction-to-sustainable-development,Introduction to Sustainable Development,Certificate, Online,14 weeks,"This course introduces the concept of sustainable development to a broad audience. Students are presented with the factors that affect the environmental, economic and social sustainability of our communities. The course investigates the development of human populations and how their need for resources (e.g. energy, food, water) has compromised the natural ecosystems. Social and economic factors are explored in the context of social equality and sustainability in the local and global economy. The effects of individual lifestyle changes on the sustainability of communities are also examined. Students have the option to take this course in a Hybrid format (partially in class and partially online), or completely online.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $394.30 Senior Fee - $351.78 Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved.",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//3-wheel-motorcycle-rider-training,3-Wheel Motorcycle Rider Training,, Commerce Court Campus,,"3-Wheel Motorcycle Rider Training - M1-Exit Course (M1 to M2-M) Learn the basic skills including turning, shifting gears, braking, and controlling vehicle speed. Training includes a short classroom lesson and a full-day of rider skills training/practice on the motorcycle. Students must complete a skills evaluation component at the end of the course to obtain the M2-M license. Canadore College provides an excellent off-road paved area and provides Can-Am Ryker and Can-Am Spyder motorcycles. Times: Friday 6:00 pm to 9:00 pm Saturday and Sunday 8:30 am to 4:00 pm Enrollment is limited, register early!  Applicants must:  Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//3-wheel-motorcycle-training-m1-exit,3-Wheel Motorcycle Training – M1-Exit,, Commerce Court Campus,,"Come to Canadore College to learn how to ride a three-wheeled motorcycle for only $199! Learn the basic skills including turning, shifting gears, braking, and controlling vehicle speed. Training includes a short classroom lesson and a full-day of rider skills training/practice on the motorcycle. Students must complete a skills evaluation component at the end of the course to obtain the M2-M license. Canadore College provides an excellent off-road paved area and provides Can-Am Ryker and Can-Am Spyder motorcycles. Canadore College provides an excellent off-road paved area and provides the motorcycles (maximum 250cc) for your M1-Exit training.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $199.99 Senior Fee - $170.65 Applicants must : Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved.",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//abuse-and-family-violence,Abuse and Family Violence,Certificate, Online,14 weeks,"Child and youth abuse identification and intervention are viewed as the responsibility of every individual. Abuse of children often occurs within the larger system of family violence. Impact of socialization and prevention programs will be examined as pertinent social issues. Assessment, treatment and prevention techniques and programs will be examined including conflict resolution skills.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $414.52 Senior Fee - $369.16 Word processor, speakers, PDF reader required. Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//academic-and-career-entrance-ace-study-option,Academic and Career Entrance (ACE) Study Option,, Online,,"Missing a prerequisite for college? ACE is the Academic and Career Entrance Program, delivered by all 24 Ontario community colleges. ACE is recognized as the Grade 12 equivalent for admission to college programs and apprenticeship training. A growing number of employers also recognize ACE for hiring purposes. ACE is now available through online study. You can register for any of the ACE courses through Canadore College. The Learn to Learn (L2L) module is a prerequisite for all ACE online courses.  Note:Each semester, there are a limited number of tuition-free seats available in ACE online courses for eligible students. Eligible students must be residents of Ontario who are taking the course for the first time. All other students must register with Durham College and pay applicable fees. Please visit ACE Distance for more detailed information about eligibility and registering in these courses.  Please contact ontariolearn@canadorecollege.ca for information on L2L and the registration process.  Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Please note that the learning outcomes for courses and programs in the Continuing Education department vary based on the course provider. Please contact the Continuing Education department with any questions: ce@canadorecollege.ca.  Academic Upgrading - 52 Weeks - College Certificate",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/academic-upgrading,Academic Upgrading,Certificate," College Drive Campus, West Parry Sound Campus",52 weeks,"Upgrade your knowledge and skills to prepare for college, apprenticeship, and/or employment, whether or not you have a high school diploma. This flexible training is tailored to suit your educational and/or employment goals. You can attend these programs on a full or part-time basis to suit your busy schedule.   Note: Academic Upgrading is tuition-free to residents of Ontario who are at least 19 years of age. Financial support for child care and transportation is available to qualified applicants.  Literacy and Basic Skills (LBS) provides upgrading in communication, mathematics, introductory computer applications, and workplace essential skills. This program will help to improve your employment prospects, and will prepare you for further training. Many students who successfully complete this program proceed directly into the ACE Program.    Academic and Career Entrance Program (ACE) allows you to upgrade your academic skills and prepares you for further education. Studies may include communications, mathematics, biology, and chemistry. Successful completion of the ACE Program provides a Grade 12 equivalence that is recognized for admission to college postsecondary programs and apprenticeship training in Ontario.  *The Employment Ontario project, program or service is funded by the Ontario government Ontario residents at least 19 years of age may apply for the program",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//access-2016-core,Access 2016 Core,Certificate, Online,14 weeks,"Microsoft Access is a computerized database that allows you to manipulate, link, chart, query and report your data to customize the information you need. You will learn to use Microsoft Access 2016 to create databases, view, format, manage and modify data tables and fields. You will learn to create forms, queries, reports and explore data relationships using its pull-down menus, toolbars and dialog boxes. Microsoft certified courseware publication is used to present the software features in a well-illustrated graphic format to prepare students to complete the appropriate Microsoft Certification exam #77-730 for students who wish to write the MOS (Microsoft Office Certification). Students can identify Access Skills to potential employers by successfully completing the course capstone project to earn a skills badge.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $374.08 Senior Fee - $334.39 Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved.",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//access-core,Access Core,Certificate, Online,14 weeks,"This course will introduce students to the theory of database concepts and data structures. Students will then apply this theory to design, develop, implement, and maintain basic database applications using Microsoft Access.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $293.20 Senior Fee - $264.85 Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved. Wastewater Management Environmental Management        ",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//access-expert,Access Expert,Certificate, Online,14 weeks,"This course is designed to build on the database skills gained in GIS132. Students will use Microsoft Access to enhance tables with lookups, create advanced forms and queries, build relationships between tables to ensure data accuracy, construct and use macros, set up a switchboard form, encrypt a database, and integrate a variety of Microsoft applications.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $293.20 Senior Fee - $264.85 Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved. Wastewater Management Environmental Management    ",
Canadore College of Applied Arts and Technology,Ontario,c27e4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.canadorecollege.ca/programs/part-time//accounting-intermediate-i,Accounting – Intermediate I,Certificate, Online,14 weeks,"The course covers accounting for corporations, long-term debt, debt and share investments, the statement of cash flow, financial statement analysis and the framework for financial accounting.  You may enroll in a Continuing Education course at Canadore College if you are 19 years of age or older or if you have earned an Ontario Secondary School Diploma/Ontario Secondary School Graduation Diploma or equivalent. Standard Fee - $468.44 Senior Fee - $415.52 Most college level courses require textbooks; textbooks are not included in the course fees. It is the student’s responsibility to purchase any required textbooks. Textbooks are available at the Campus Shop for in class, Contact North, and iLearn/D2L courses. The Campus Shop does not carry most OntarioLearn textbooks. OntarioLearn textbooks can be purchased at www.textnet.ca. Students may also purchase textbooks from a source of their choice, but the ISBN must match. View Part-Time Program Booklist  Learning outcomes represent culminating demonstrations of learning and achievement. In addition, learning outcomes are interrelated and cannot be viewed in isolation of one another. As such, they should be viewed as a comprehensive whole. They describe performances that demonstrate that significant integrated learning by graduates of the program has been achieved. Accounting Foundation – College Certificate",
