institution_name,prov_terr,record_id,member,url,Program,Credential,Campus,Duration,Description,WIL
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/academic-career-entrance/,ACE (Academic and Career Entrance) – Certificate,College Preparation,Ashtonbee Campus,"1, 2 or 3 semesters","
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The Academic and Career Entrance (ACE) certificate program is a tuition-free academic upgrading undertaking that offers college and career preparation, helping you reach your academic goals through essential skills training.

You must complete four credits to receive your ACE certificate. These will include mandatory English and mathematics, along with biology, chemistry, self-management or digital literacy electives.

Program Highlights

Courses in ACE are 14 weeks in length.
	The courses are facilitated in a supportive learning environment.
	Thanks to small-sized classes, there are opportunities to interact with your fellow peers as well as encouraging and dedicated faculty.
	Mentors will work closely with you to help you determine appropriate career and post-secondary goals.
The Government of Ontario funds this Employment Ontario program.


                        ",WIL
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/addiction-mental-health-worker/,Addiction and Mental Health Worker,Ontario College Diploma,Ashtonbee Campus,2 years/ 4 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The School of Community and Health Studies offers the Addiction and Mental Health Worker program. It will help you acquire the education to work in mental health and addiction services using evidence-based knowledge and skills in screening, assessing, and responding to people with mental health and substance-use issues from diverse cultural and community perspectives.

In Addiction and Mental Health Work courses, you'll learn to work — in a variety of community health and human services settings such as mental health and addiction agencies, homeless drop-in centres and crisis service centres — with individuals, family members and small groups impacted by addiction and mental health issues. You'll also gain the knowledge to advocate for equitable access to supports and services including health promotion, prevention and harm reduction. The Addiction and Mental Health Work program has a commitment to reconciliation with Indigenous communities in Canada. As a result, courses will offer Indigenous perspectives to addiction and mental health work.

Classroom instruction will be combined with a second-year field placement experience during which you'll spend several days each week working with clients in social service agencies under the supervision of experienced service providers. You'll have the opportunity to work in interprofessional teams to gain direct experience providing support to clients and families through case management, assessment, referral and navigating systems of care. The practical experience you gain will help to reinforce classroom learning and provide grounding for full-time work after graduation.

Please Note: This program is taught using a combination of modalities. Courses may be delivered face-to-face, online or in blended/hybrid combination of both online and traditional classroom teaching.

Program Highlights

In the Addiction and Mental Health Worker program, you'll learn to:

Develop a plan to assist individuals in achieving their goals for mental wellness and substance use/addiction;
	Integrate group work and group facilitation skills across a wide range of community service settings to support the growth and development of individuals, families, and communities affected by addictions and mental health issues;
	Consider social policy, legislation, and political, social and economic systems, and their impacts on service delivery in addiction and mental health services;
	Provide appropriate treatment, prevention and harm reduction strategies to individuals and families impacted by addiction and mental health issues;
	Recognize diverse needs and experiences of individuals, groups, families and communities to develop and promote accessible and responsive programs and services;
	Respond accordingly to individuals in crisis to provide appropriate assistance and referral where necessary;
	Develop and maintain positive interprofessional collaboration and working relationships with colleagues, supervisors and community partners that adhere to professional, legal and ethical standards;
	Advocate, at a system level, for non-judgmental acceptance and unconditional positive regard of individuals with addictions and mental health issues;
	Collaborate with Indigenous peoples and their communities to identify and advocate for access to culturally appropriate/safer resources and support;
	Engage in critical self-reflection to support professional growth, lifelong learning and self/community care strategies;
	Develop creative concepts for addiction and mental health practice that meet innovation, entrepreneurship and social enterprise objectives.
",Field Placement 1 AND Field Placement 2
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/business-management-alcoholic-beverages/,Advanced Business Management - Alcoholic Beverages (Optional Co-op),Ontario College Graduate Certificate,Eglinton Learning Site,1 year/ 2 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            Centennial College launched its Advanced Business Management - Alcoholic Beverages program in response to the demand for savvy business people to take the reins in Canada's $40-billion wine, beer and spirits industry.

Through business courses taught by industry experts, you'll gain practical experience and insight into how the business of alcoholic beverages is managed. This Alcoholic Beverages business program will cover topics such as category and supply chain management, accounting and marketing while also highlighting the global regulatory framework and good corporate social responsibility.

Upon program completion, you'll have developed the analytical skills, business acumen and core industry knowledge necessary for a successful career in a dynamic and growing field.

Program Highlights

Courses will be taught Monday to Wednesday — allowing for flexibility if you have other commitments — at Centennial's convenient downtown Toronto Yonge and Eglinton location, which is on the subway line.
	An optional co-op program will offer valuable industry work experience.*
	You'll benefit from small class environments.
	Hands-on training will help you to understand how to use industry customer analytics tools. 
*Subject to qualified candidates.

Learning Outcomes

You'll be able to: 

Manage and control different aspects of an alcohol-related enterprise by accounting, finance, analytics and general business best practices;
	Plan and manage product distribution and retail systems to achieve business success, comply with legislative requirements and meet social responsibility obligations;
	Analyze local and global markets to position products using appropriate sales and marketing strategies;
	Interpret import and export regulations to determine opportunities and challenges within the business structures of the alcoholic beverages industry;
	Develop strategies to optimize product and market opportunities, including brand development and positioning;
	Conduct business in compliance with relevant national and international law, regulations, ethical standards and corporate social responsibility;
	Use human resources best practices to recruit, motivate, resolve labour relations issues and manage culturally sensitive situations;
	Act entrepreneurially by researching and operationalizing business opportunities within the alcoholic beverages industry;
	Develop strategies to assess the impact and opportunities associated with the globalization of the alcoholic beverages industry;
	Develop personal and professional development strategies and plans to enhance leadership, management skills and expertise.
",Coop/Employment Preparedness AND Strategic Business Planning - Capstone
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/advanced-television-film-script-to-screen/,Advanced Television and Film – Script to Screen,Ontario College Graduate Certificate,Story Arts Centre,1 year/ 2 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The Advanced Television and Film – Script to Screen program at Centennial College offers a comprehensive, in-depth and hands-on understanding of what goes into developing and producing quality feature films and TV shows.

This multidisciplinary two-semester post-graduate program — facilitated by the School of Communications, Media, Arts and Design in the hub of Toronto's film and television district — will be especially beneficial for writers, directors, producers, editors, actors, and other film and television craftspeople who want to expand their industry knowledge.

The major focus of the first semester will be on creating, pitching, outlining, developing, drafting and polishing production-ready short film scripts. During the second semester, you'll have the opportunity to prepare, perform in, shoot and/or post a number of these productions.

Additionally, Advanced Television and Film – Script to Screen will see you deconstructing classic films, television shows and scripts of all genres. The program will also provide advanced instruction from industry professionals in your major and minor areas of craft interest, along with extensive employment information.

Program Highlights

The Advanced Television and Film – Script to Screen program is unique among the few other post-graduate film and television offerings currently available in the Greater Toronto Area.
	Instead of immediately streaming you into master classes, the first semester will ensure you obtain a solid working knowledge of the various roles people have when working on a film or television production.
	The amount of included foundational lessons will allow you to better collaborate, improvise, problem-solve, and empathize with your fellow cast and crew members.
	The program will focus on dramatic filmmaking, comedy and several other genres. It will not, however, include documentary filmmaking.
	At a time when student films continue to be key to gaining a foothold in the business, the time and effort devoted to script development in Semester 1 and production and post-production in Semester 2 will result in higher quality student films than are customarily produced.
 



To support your learning, this program requires you to have access to a mobile computing device that meets minimum hardware requirements.

Please visit the BringIT page for more information on the requirements for your program.
                        ",WIL
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/advertising-account-management/,Advertising - Account Management,Ontario College Graduate Certificate,Story Arts Centre,1 year/ 3 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The Advertising Account Management program will prepare you for a successful career in the client service area of the advertising, marketing and communications industry.

If you like creating, planning, managing and working in collaborative teams, this communications and media program is for you. Because the advertising industry needs specialized account managers who understand the full scope of the industry, courses will cover areas such as:

 

Advertising
	Digital, mobile and social media platforms
	Event marketing
	Direct marketing
	Management of integrated communications plans from inception to final production
Not only will a team of seasoned advertising professionals teach and mentor you as you acquire new skills and confidence for the industry, but you'll also have the opportunity to apply your knowledge to the real world. The Advertising Account Management program at Centennial College is the only post-graduate offering of its kind in Canada that includes a full 14-week field placement in the advertising and marketing communications industry.

During your field placement, you'll obtain knowledge of the day-to-day operations of account management and gain hands-on experience to highlight in your portfolio and on your resume. Many students have been offered full-time or contract positions during their field placement.

Program Highlights

This Account Management program will give you the opportunity to turn your degree or diploma into a practical advertising industry entry point.
	Faculty members have industry experience and can help connect you with the industry by tapping into their network of professional contacts.
	Industry-equivalent computer software and media planning/research systems will be utilized throughout many of your courses.
	An opportunity to work at Tilt, a student-run communications agency, will provide real experience working for real clients while you're in school.
	The Story Arts Centre, where you'll attend your courses, is only 15 minutes from most of Toronto's major advertising agencies.
	The Interactive Advertising Bureau recognizes this program as offering the largest breadth of digital/mobile curriculum.
	The industry-recognized graduate certificate you'll earn once you complete the  program reflects a high standard of learning.
 



To support your learning, this program requires you to have access to a mobile computing device that meets minimum hardware requirements.

Please visit the BringIT page for more information on the requirements for your program.
                        ",Placement (Account Management)
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/advertising-creative-digital-strategy/,Advertising - Creative & Digital Strategy,Ontario College Graduate Certificate,Story Arts Centre,1 year/ 2 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The Advertising - Creative and Digital Strategy program addresses the high demand for creators in the digital field of advertising and marketing, which is growing faster than all other areas in the advertising industry.

This Advertising graduate certificate program is facilitated from the Story Arts Centre in Toronto and blends Centennial College's experience in digital media with its strengths in business and marketing. The program will focus on helping you create engaging digital experiences built on solid creative strategy. You'll become immersed in the digital field and learn how to develop breakthrough creative advertising campaigns.

Through your courses, you'll acquire the necessary skills in creative strategy, writing, developing creative concepts, art direction, collaboration, presentation and entrepreneurialism. You’ll also learn new technologies and platforms that will keep you informed about recent innovations in the digital creative field.

The program will focus on five key areas:

Creative strategy, to ensure advertising meets clients' business objectives;
	Digital storytelling, to build on the power of storytelling in developing impactful creative advertising;
	Brand engagement, to create strong connections with consumers;
	Entrepreneurship, to foster key business skills that encourage innovation and risk-taking;
	Emerging platforms, to ensure you're up-to-date on the latest in digital technology impacting the advertising industry.
During a second-semester field placement, you'll participate in team assignments, working in a collaborative environment in the real world.

In this program, you'll:

Gain an understanding of the digital creation process from a creative director's point of view;
	Learn how to craft a creative digital strategy that delivers results;
	Develop a strong portfolio and case studies for prospective employers;
	Enhance presentation skills to help sell ideas;
	Understand the impact of technology on creative development;
	Foster digital storytelling skills to bring brands to life online;
	Analyze and solve business and marketing challenges for clients by applying innovative, creative and digital techniques;
	Complement in-class education with a field placement that will provide the opportunity to work in the industry and hone your skills.
Program Highlights

This Creative and Digital Strategy program will give you the opportunity to turn a degree or diploma into an exciting career in a growing field of the advertising industry.
	You'll learn how to create digitally-centric creative portfolio pieces using current industry design and writing standards.
	Faculty members have extensive industry experience and can help you connect to the industry by tapping into their personal networks.
	The program is offered at the Story Arts Centre, about 15 minutes from most advertising and digital marketing agencies in Toronto. To enhance the learning experience, there will be numerous opportunities to collaborate with your peers in a range of other marketing and communications-focused programs.
 



To support your learning, this program requires you to have access to a mobile computing device that meets minimum hardware requirements.

Please visit the BringIT page for more information on the requirements for your program.
                        ",Field Placement
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/advertising-and-marketing-communications-management/,Advertising and Marketing Communications Management,Ontario College Advanced Diploma,Story Arts Centre,3 years/ 6 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            Centennial College's Advertising and Marketing Communications Management program is all about tapping into your creative talent and strategic thinking and using business savvy to generate new and exciting ideas. If you prefer to watch the Super Bowl for the commercials, this program is for you.

Taking place over three years, the courses in this advertising program will begin by building a foundation in all aspects of the industry, which will prepare you for the final year of study when you'll choose to specialize in account management, digital creative, or media buying and planning. Additionally, this program is the only Greater Toronto Area college advertising program to include a full-semester 14-week field placement.

In the Advertising and Marketing Communications Management program, you'll:

Learn the entire advertising process, including creative development, research, developing strategies, campaign planning, production, and media planning and buying;
	Learn to produce content within the range of advertising genres;
	Gain the ability to tell clients' stories with persuasive advertising;
	Plan and develop campaigns on multiple platforms;
	Develop your instincts and strategic abilities while meeting deadlines in a professional and creative environment;
	Be led by a team of seasoned advertising instructors who possess vast industry expertise;
	Complete your training with an industry field placement, during which you'll acquire experience in the day-to-day activities of the advertising world.
Program Highlights

The Advertising and Marketing Communications Management program will mirror working world standards, including firm deadlines, multitasking, working under pressure and delivering professional presentations.
	Hands-on practice with onsite professional software and media planning systems will be an essential program element. 
	You'll gain insight and experience in the core areas of agency operations: digital creative, media planning/buying and account management.
	The Interactive Advertising Bureau recognizes the program as offering the largest breadth of digital/mobile curriculum.
 



To support your learning, this program requires you to have access to a mobile computing device that meets minimum hardware requirements.

Please visit the BringIT page for more information on the requirements for your program.
                        ",Field Placement
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/advertising-media-management/,Advertising – Media Management,Ontario College Graduate Certificate,Story Arts Centre,1 year/ 3 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            Centennial College's Advertising Media Management program will prepare you for a career in media planning and buying within the advertising and communications industry. 

Intensive, hands-on, industry-approved advertising media management courses will provide you with the fundamentals of media management. At the same time, they'll highlight consumer-driven communication channel choices (such as mobile platforms) for advertising messages.

In this graduate certificate program, you'll:

Develop expertise in reaching target audiences with creative messages;
	Build your business and negotiation skills on behalf of advertising clients to achieve strategic results;
	Expand your knowledge of emerging media;
	Master industry-specific syndicated research databases and software;
	Complement your in-class education with a 14-week industry field placement.
Program Highlights

You'll receive realistic, hands-on learning and partake in a 14-week field placement during which you'll gain practical industry experience.
	Comprehensive digital media training will be covered in just two semesters.
	The Advertising - Media Management program will enhance career-ready skills in media management, research, analysis, planning, estimating and buying.
	High-level industry professionals, who help you to connect with the industry, will teach and mentor you.
	Tilt, a student-run communications agency, will provide real advertising experience while you're in school.
	The Interactive Advertising Bureau recognizes Centennial College as offering the largest breadth of interactive/mobile curriculum.
 



To support your learning, this program requires you to have access to a mobile computing device that meets minimum hardware requirements.

Please visit the BringIT page for more information on the requirements for your program.
                        ",Field Placement (Media Management)
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/aerospace-manufacturing-engineering-technician/,Aerospace Manufacturing Engineering Technician,Ontario College Diploma,Downsview Campus,2 years/ 4 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            Centennial College's Aerospace Manufacturing Engineering Technician program will provide you with a solid understanding of aircraft manufacturing operations, aerospace systems and unmanned aerial vehicle (UAV) technology. During this two-year diploma program, you'll learn to work with key performance indicators, continuous improvement techniques and composite materials. Through training in CAD, CAM and CNC operations, you'll be able to seamlessly transition into the industry. 

Please note: Some courses may be offered in an online/hybrid format.
                        ",WIL
Centennial College of Applied Arts and Technology,Ontario,2e7f4492-aab5-e711-8111-c4346bac2a20,TRUE,https://www.centennialcollege.ca/programs-courses/full-time/aerospace-manufacturing-engineering-technology/,Aerospace Manufacturing Engineering Technology,Ontario College Advanced Diploma,Downsview Campus,3 years/ 6 semesters,"
                            
                            Program Overview

                            
                                Program Overview
                                
                                    Printer Friendly
                                
                            
                            The Aerospace Manufacturing Engineering Technology advanced diploma program at Centennial College will allow you to gain a solid understanding of aircraft manufacturing operations, aerospace systems and unmanned aerial vehicle (UAV) technology. Through three years of training, you'll learn to work with key performance indicators, continuous improvement techniques and composite materials while also mastering CAD, CAM and CNC operations. This combination will help you to seamlessly transition into the industry. 

Additionally, the Technology option will prepare you to effectively function in the field with math competencies, the ability to develop simulations, knowledge of finite element analysis, and the know-how to design, build and implement action plans. You'll also be taught business functions such as project planning and management, operations management, leading and participating in multidisciplinary teams, and problem solving. On the technical side, training will be rounded out with specialized knowledge of the impact of manufacturing systems, process engineering, product life cycle management and troubleshooting.

​Please note: Some courses may be offered in an online/hybrid format.
                        ",WIL
